"first_name","last_name","hire_date"
"Jiann","Bondorf","1986-01-01"
"Holgard","Prenel","1986-01-01"
"Hercules","Veevers","1986-01-01"
"Achilleas","Kroft","1986-01-01"
"Unal","Cooley","1986-01-01"
"Chaoyi","Kaiserswerth","1986-01-01"
"Bedir","Vanwelkenhuysen","1986-01-01"
"Nirmal","Comyn","1986-01-01"
"Mario","Schrift","1986-01-01"
"Subir","Shumilov","1986-01-01"
"Shao","Reinhart","1986-01-01"
"Moie","McConalogue","1986-01-01"
"Jaihie","Soicher","1986-01-01"
"Kwangyoen","Rosca","1986-01-01"
"Uri","Asmuth","1986-01-01"
"Nathalie","Speer","1986-01-01"
"Dzung","Jervis","1986-01-01"
"Zhanqiu","Buescher","1986-01-01"
"Constantino","Brookman","1986-01-01"
"Domenick","Dehkordi","1986-01-01"
"Domenico","Debuse","1986-01-01"
"Filipe","Bottner","1986-01-01"
"Hausi","Lores","1986-01-01"
"Jianhao","Serot","1986-01-01"
"Mario","Orlowska","1986-01-01"
"Vidar","Tibblin","1986-01-01"
"Sanjay","Servieres","1986-01-01"
"Juichirou","Munke","1986-01-01"
"Danae","Nyanchama","1986-01-01"
"Shawna","Reinhart","1986-01-01"
"Saniya","Lanphier","1986-01-01"
"Zita","Shobatake","1986-01-01"
"Shir","Sambasivam","1986-01-01"
"Youssef","Janocha","1986-01-01"
"Alejandra","Luce","1986-01-01"
"Theron","Homond","1986-01-01"
"Yongqiao","Reinhard","1986-01-01"
"Hercules","Harbusch","1986-01-01"
"Jiang","Bierbaum","1986-01-01"
"Shahar","Waterhouse","1986-01-01"
"Lijia","Rettelbach","1986-01-01"
"Ziyad","Famili","1986-01-01"
"Vidya","Dymetman","1986-01-01"
"Toshiko","Felder","1986-01-01"
"Poorav","Papastamatiou","1986-01-01"
"Sachar","Undy","1986-01-01"
"Shahid","Baaz","1986-01-01"
"Eishiro","Curless","1986-01-01"
"Kwangjo","Zirintsis","1986-01-01"
"Boriana","Vingron","1986-01-01"
"Guadalupe","Smeets","1986-01-01"
"Manibrata","Stiles","1986-01-01"
"Munehiko","Masaki","1986-01-01"
"Kazunori","Meriste","1986-01-01"
